-	901384
google	300029
ebay	126132
yahoo	116892
yahoo.com	88775
mapquest	79560
google.com	72006
myspace.com	68624
myspace	67488
www.yahoo.com	38796
www.google.com	38616
internet	35415
http	27285
my space	25508
weather	25211
map quest	24943
www.myspace.com	24811
ebay.com	22878
american idol	20614
bank of america	20583
pogo	18315
hotmail	17953
craigslist	17686
adserver.ign.com	17372
msn	17315
ask jeeves	17178
hotmail.com	16136
dictionary	15755
yahoo mail	15148
mycl.cravelyrics.com	14741
msn.com	14106
bankofamerica	13343
mapquest.com	13281
walmart	13262
tattoo	12730
ask.com	12620
my space.com	12519
.com	12399
myspace layouts	11954
southwest airlines	11693
white pages	11475
porn	11153
maps	10980
sex	10368
mailbox	10110
www.google	10030
home depot	9938
pogo.com	9867
fidelity.com	9866
target	9515
match.com	9041
horoscopes	8986
m	8971
www.ebay.com	8953
lyrics	8820
yellow pages	8705
slingo	8672
www.hotmail.com	8641
travelocity	8545
lowes	8302
amazon.com	7942
horoscope	7483
qvc	7444
sears	7439
games	7390
goggle	7278
irs	6944
www.	6898
yahoo games	6835
orbitz	6662
im help	6659
com	6658
amazon	6655
cingular	6650
free porn	6608
my	6492
recent	6430
www	6247
expedia	6241
wachovia	6159
verizon	6117
runescape	6061
florida lottery	5925
ticketmaster	5845
american airlines	5843
limewire	5791
tattoos	5788
webmd	5780
best buy	5717
g	5652
jobs	5635
www.mapquest.com	5599
walmart.com	5526
bankofamerica.com	5521
profileedit.myspace.com	5511
kelly blue book	5474
www.myspace	5438
pussy	5399
www.msn.com	5337
deal or no deal	5307
monster.com	5249
weather.com	5147
om	5125
lottery	5110
espn	5102
nascar	5097
ask	5074
craigs list	5042
yahoomail	4957
driving directions	4891
facebook	4869
ww.myspace.com	4820
expedia.com	4764
wells fargo	4760
mys	4741
ups	4696
y	4663
people search	4633
realtor.com	4631
e-bay	4615
united airlines	4614
usps	4576
www.bankofamerica.com	4548
netflix	4530
www google.com	4496
wwe	4463
cnn	4448
evo.qksrv.net	4447
mail.myspace.com	4400
nick.com	4375
disney channel.com	4332
xxx	4286
continental airlines	4280
target.com	4274
freeones	4249
disney	4193
circuit city	4158
directions	4133
pogo games	4025
prom dresses	4007
qvc.com	3975
free music downloads	3971
a	3952
jokes	3854
jet blue	3849
www.disneychannel.com	3845
map	3817
yahoo personals	3786
askjeeves	3784
irs.gov	3772
bed bath and beyond	3753
www.irs.gov	3748
costco	3745
paypal	3715
delta airlines	3668
recipes	3666
disney channel	3659
goo	3656
zip codes	3641
disneychannel.com	3624
tattoo designs	3621
cartoon network	3615
powerball	3609
thehun	3609
https	3587
www.disney channel.com	3582
food network	3582
.comhttp	3559
southwest.com	3541
billing	3538
dell	3538
e	3502
espn.com	3487
gmail	3468
song lyrics	3447
jetblue	3435
screen names	3421
yahoo finance	3421
wellsfargo.com	3403
airlines	3402
http;	3393
american express	3391
fafsa	3374
cars	3373
sprint	3340
aol.com	3328
verizon wireless	3298
ampland	3297
89.com	3297
videos	3286
playboy	3256
movies	3253
sudoku	3252
e bay	3227
baby names	3190
blackplanet.com	3184
google earth	3178
craigslist.com	3166
nascar.com	3163
www yahoo.com	3160
southwest	3157
ads.admonitor.net	3151
ikea	3140
ako	3139
hsn	3123
music	3118
aa.com	3112
jessica alba	3105
free games	3100
flowers	3090
whitney houston	3086
manhunt.net	3071
www.ask.com	3053
shakira	3053
dogpile	3044
hotels.com	3041
chat	3036
wwe.com	3035
nextel	3031
eharmony	3011
adultfriendfinder	2994
amtrak	2975
used cars	2974
google search	2970
google com	2967
kmart	2959
paris hilton	2951
www.pogo.com	2946
mysapce.com	2945
macys	2936
h	2927
web md	2892
mysp	2884
cheap tickets	2883
barnes and noble	2881
pichunter	2881
wellsfargo	2874
www.capitalone.com	2857
chase	2857
porno	2840
b.bluetime.com	2838
w	2833
wikipedia	2829
eva longoria	2818
jessica simpson	2804
myspace com	2798
www myspace.com	2793
webmaste.drunkenmature.net	2765
mime	2751
toyota	2749
greeting cards	2745
chase.com	2732
c	2727
adam4adam	2715
ads.t-kom.com	2715
yahoomail.com	2711
newsgroups	2709
hairstyles	2684
ttp	2681
www.mysapce.com	2668
homedepot	2667
orbitz.com	2667
wachovia.com	2663
jcpenney	2658
foodnetwork.com	2651
babies r us	2637
poems	2618
airline tickets	2614
usbank	2612
hotels	2609
toys r us	2607
milf	2604
wwww.myspace.com	2593
northwest airlines	2593
cingular.com	2593
autotrader	2578
disney.com	2570
travelocity.com	2561
remax	2560
dogs	2549
xnxx	2548
ebay motors	2542
itunes	2542
wamu	2541
ask jeeves.com	2536
delta	2524
mega millions	2522
capital one	2522
lotto	2521
buddy list	2507
craiglist	2502
yahoo com	2495
monster	2493
internet explorer	2488
furniture	2488
delta.com	2484
www.yahoo	2472
password	2472
sears.com	2471
www.my space.com	2468
yahoo maps	2460
s	2443
overstock.com	2425
old navy	2411
www myspace com	2406
imdb	2399
hair styles	2388
chris brown	2379
photobucket	2370
goggle.com	2370
cartoonnetwork	2363
poppit	2356
lost	2356
fidelity	2353
